item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Potato (Local),6/17/2025,330,380,
Potato (Imp),6/17/2025,156,220,
Dried Chilli (Imp),6/17/2025,550,760,
Coconut,6/17/2025,160,230,
Coconut oil,6/17/2025,853,894,
Red Dhal,6/17/2025,250,280,
Sugar,6/17/2025,215,230,
Egg,6/17/2025,34,36,
Katta (Imp),6/17/2025,1600,3000,
Sprat (Imp),6/17/2025,850,,
Banana (Sour),6/17/2025,100,140,
Papaw,6/17/2025,80,200,
Pineapple,6/17/2025,,520,
Apple (Imp),6/17/2025,,250,
Orange (Imp),6/17/2025,,300,
Samba,6/17/2025,235,,
Nadu,6/17/2025,225,230,no
Kekulu (White),6/17/2025,215,220,
Kekulu (Red),6/17/2025,215,220,
Ponni Samba (Imp),6/17/2025,228,,
Nadu,6/17/2025,210,220,no
Kekulu (White) (Imp),6/17/2025,208,210,
Kelawalla,6/17/2025,1500,2520,
Thalapath,6/17/2025,2000,2580,
Balaya,6/17/2025,1100,1400,
Paraw,6/17/2025,1600,1900,
Salaya,6/17/2025,850,980,
Hurulla,6/17/2025,,,
Linna,6/17/2025,1150,1380,
Beans,6/16/2025,500,660,
Carrot,6/16/2025,400,800,
Cabbage,6/16/2025,350,600,
Tomato,6/16/2025,300,600,
Brinjal,6/16/2025,350,600,
Pumpkin,6/16/2025,120,220,
Snake gourd,6/16/2025,150,480,
Green Chilli,6/16/2025,700,1000,
Lime,6/16/2025,300,800,
Red Onion (Local),6/16/2025,367,,
Red Onion (lmp),6/16/2025,342,520,
Big Onion (Local),6/16/2025,,,
Big Onion (Imp),6/16/2025,106,150,
